,folder,file_path,extension,width,height,num_channels,label,ratio
0,cane,data\raw-img\cane\OIF-e2bexWrojgtQnAPPcUfOWQ.jpeg,.jpeg,300,225,3,dog,1.333
1,cane,data\raw-img\cane\OIP---A27bIBcUgX1qkbpZOPswHaFS.jpeg,.jpeg,300,214,3,dog,1.402
2,cane,data\raw-img\cane\OIP---cByAiEbIxIAleGo9AqOQAAAA.jpeg,.jpeg,153,300,3,dog,0.51
3,cane,data\raw-img\cane\OIP---ZIdwfUcJeVxnh47zppcQHaFj.jpeg,.jpeg,300,225,3,dog,1.333
4,cane,data\raw-img\cane\OIP---ZRsOF7zsMqhW30WeF8-AHaFj.jpeg,.jpeg,300,225,3,dog,1.333
5,cane,data\raw-img\cane\OIP---_cJbI6Ei26w5bW1urHewHaCf.jpeg,.jpeg,300,101,3,dog,2.97
6,cane,data\raw-img\cane\OIP--0C2kq6I68beB3DduLoxMgHaEf.jpeg,.jpeg,300,182,3,dog,1.648
7,cane,data\raw-img\cane\OIP--0CZnfLuBERVtzRm2QbB3gHaK4.jpeg,.jpeg,205,300,3,dog,0.683
8,cane,data\raw-img\cane\OIP--1QXriWyOTJg-9fEwbznmgHaI4.jpeg,.jpeg,251,300,3,dog,0.837
9,cane,data\raw-img\cane\OIP--2uTtzjaszBfEMCROuLN3wHaLH.jpeg,.jpeg,200,300,3,dog,0.667
10,cane,data\raw-img\cane\OIP--2z_zAuTMzgYM_KynUl9CQHaE7.jpeg,.jpeg,300,200,3,dog,1.5
11,cane,data\raw-img\cane\OIP--565fkAJy3DoFs81C9uE1QHaEY.jpeg,.jpeg,300,178,3,dog,1.685
12,cane,data\raw-img\cane\OIP--6mVvk2SFEi7TxqtyMbdvgHaEK.jpeg,.jpeg,300,169,3,dog,1.775
13,cane,data\raw-img\cane\OIP--6UY_QQC69uZF4CrwEcfUQHaHa.jpeg,.jpeg,300,300,3,dog,1.0
14,cane,data\raw-img\cane\OIP--7xBAVJkrjDLNCknR2fuKgHaHa.jpeg,.jpeg,300,300,3,dog,1.0
15,cane,data\raw-img\cane\OIP--8oCad9Nr69Ol4YEkvXJFQHaNK.jpeg,.jpeg,169,300,3,dog,0.563
